0.2178, 0.0314, 0.3765, 0.0886, -0.3078, -0.0579, -0.1947, 0.1106, 0.1756, -0.0509, 0.0391, 0.3198, -0.1940, 0.3118, 0.1082, -0.3224
0.2540, 0.1829, -0.0729, -0.1502, -0.0352, -0.3659, -0.1275, 0.1166, 0.1324, 0.6923, 0.1089, 0.2481, -0.1131, 0.3802, -0.2929, -0.6851
0.1385, -0.4913, 0.3381, 0.4369, 0.1214, -0.0203, 0.5104, -0.4049, -0.0778, -0.0929, -0.3526, -0.1474, -0.1768, -0.2271, 0.3084, -0.0902
-0.1745, -0.3125, 0.3552, 0.2731, -0.0217, 0.3224, 0.0938, -0.3631, -0.0337, -0.2264, -0.5125, -0.0117, 0.0140, -0.1398, 0.3036, 0.2714
0.3875, -0.1048, 0.0034, 0.3912, -0.3136, -0.1710, -0.2283, -0.2819, 0.0237, -0.0896, -0.4565, 0.2230, 0.2383, 0.3320, -0.4742, 0.3561
0.3870, -0.3006, 0.1702, 0.2742, 0.1220, 0.0606, -0.0273, -0.3204, 0.3474, 0.2696, 0.2767, -0.2537, -0.3611, -0.4717, 0.0025, 0.1129
0.2120, 0.1952, -0.1039, -0.0494, -0.3591, -0.2498, 0.0852, -0.0923, -0.4325, 0.1335, -0.0429, -0.1968, -0.3039, -0.3217, 0.4866, -0.2564
0.1789, 0.0583, -0.2319, 0.1848, -0.0040, 0.1561, 0.2779, -0.0770, -0.2336, 0.2012, 0.2707, 0.1625, -0.2820, 0.1697, 0.1311, -0.7195
-0.3017, -0.1002, 0.1418, -0.2483, 0.1221, 0.2471, -0.1498, 0.1304, 0.7986, -0.2925, 0.3221, -0.1903, 0.1319, -0.2893, -0.0647, 0.7156
0.3322, -0.2245, 0.0168, -0.2305, -0.4326, 0.0955, 0.0166, -0.1561, -0.1427, -0.0840, 0.1462, -0.2814, -0.2566, 0.5770, 0.0765, -0.8421
0.1208, 0.0840, 0.3362, 0.0109, 0.0539, 0.2639, 0.2848, -0.3658, -0.0055, -0.1134, 0.0840, -0.4543, -0.3021, 0.0989, 0.1857, -0.1414
-0.1653, -0.0877, 0.0778, 0.1422, 0.2157, 0.1527, -0.1456, -0.0761, -0.5246, 0.2339, -0.2916, -0.0305, -0.1781, 0.2287, 0.1241, 0.0345
-0.0104, 0.0729, -0.2113, 0.2645, -0.1497, 0.1934, -0.2445, -0.2514, -0.0938, 0.1143, -0.1999, 0.1719, 0.1836, -0.1747, 0.1232, -0.1206
0.0326, -0.4001, 0.6934, 0.3427, 0.0500, 0.4980, 0.0922, -0.4005, -0.1049, 0.1434, 0.0890, -0.3837, -0.0966, -0.0435, 0.2596, -0.2502
-0.4248, -0.0157, -0.2092, -0.0509, 0.0917, 0.0188, 0.0191, 0.2208, 0.2179, -0.1560, 0.2615, 0.3215, -0.1018, 0.3666, -0.3861, 0.2986
-0.0657, 0.3670, 0.2353, 0.1352, -0.3269, -0.2218, 0.1102, 0.2159, -0.3815, 0.1195, -0.2165, 0.2997, -0.2266, 0.1815, 0.2633, 0.2668
