0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-0.05396715,-1.3892154,0.76880646,3.469031,3.240923,0.52991855,-0.086472034,0.08096776,-0.09868185,-0.19492081,-0.073002644,-0.12306688,-0.46188286,0.2363701,0.053664144,-0.0006461657
0.075896904,0.024619384,0.07498268,0.036713187,-0.025283264,-0.015660899,-0.019570578,0.017130971,-0.04271886,0.097111605,0.058755524,0.05402436,0.0871565,0.035016425,-0.07783329,-0.07945481
0.07796121,-0.09100677,-0.04971287,-0.015677812,-0.09477746,-0.09438833,0.05664357,-0.045836665,-0.07507149,-0.08518359,0.040197134,-0.0083422875,-0.04187393,-0.020320227,-0.043613784,-0.08439106
-0.0009947749,0.34922293,-5.3161917,-6.9030986,-3.756169,-5.3501635,0.1693142,0.45211583,0.10924268,2.114242,2.7036645,2.3128297,1.4332085,1.3055835,-0.04161975,0.06380592
0.09967831,-0.18096846,-1.5277134,-2.638682,-1.5842036,-2.9527967,0.13507584,-0.286566,0.057819147,-0.19490227,-0.15661348,-0.47863793,-0.013772831,-0.37191367,-0.0004141575,-0.085621074
0.20894963,-0.8481805,-1.6425269,-1.5483519,-0.58633935,-2.7766314,-0.122040436,-0.084715344,-0.11008165,-1.3372548,-1.5684509,-3.0758438,-1.0920483,-1.6766903,0.00048178842,-0.0029563343
-0.66237736,-0.39803535,-2.8744829,-4.170776,-2.4505682,-3.9402783,-0.082282975,0.20822728,-0.07249256,0.34220695,0.49004483,0.3291009,0.05675052,-0.032988988,-0.14792894,0.06801461
-0.07518357,-0.06823332,-0.07974127,-0.060644787,0.04021334,0.048477966,0.02408851,0.07711167,-0.046175987,0.01682527,-0.08370968,0.05743176,0.029075334,0.056173593,-0.0014202504,-0.026118424
0.16352439,-0.044717614,-1.2370468,-1.804186,-1.4638941,-2.179554,-0.00047443557,-0.15822104,0.08777846,-0.33607852,-0.32431513,-0.7577922,-0.27795607,-0.6540621,0.0026300177,-0.061028436
0.035469938,-0.08571441,0.051273514,0.76672184,0.1697758,1.2312238,-0.1965816,0.32488874,-0.31557703,0.08712167,0.082711995,-0.102573805,-0.115594774,0.038865134,-0.070368215,0.009539992
1.1483524,-1.6088014,-2.433958,-1.6867819,-1.7393781,-1.7328131,-0.60007477,-0.40067935,-0.61898506,-2.4589753,-2.8827558,-4.009157,-1.947207,-2.2220054,0.06201483,-0.0056625973
0.13567366,-1.4997165,3.7186463,10.570512,5.7594547,9.403973,-0.16108899,0.2479075,-0.2273331,-1.0505043,-1.6350285,-1.0004283,-1.1745919,-0.17349598,0.043920442,0.015713433
0.33363855,-0.8563349,-6.4317307,-9.237342,-4.985007,-8.247134,0.443889,-0.24072184,0.5757151,0.5361817,1.138676,-0.8484482,0.5945432,-0.47993696,0.031325422,-0.007686715
-0.022209685,-0.11493051,0.008295318,-0.19146776,0.3764983,0.2595274,0.5370071,0.62350917,0.5564009,-0.20663127,-0.3432944,-0.5572405,0.08215245,0.039907802,-0.53134316,0.023703154
0.06341189,0.06291692,-0.006157263,0.059498034,-0.008118388,0.009117318,0.03790741,-0.026213948,-0.05729443,-0.07439357,-0.025278693,0.078168064,0.07725385,-0.08508268,-0.014233217,-0.061700206
-0.29346254,-0.0212747,3.6381505,4.388774,2.9926658,6.354743,-1.0510054,0.514779,-1.051693,2.2574844,2.469956,5.229233,0.90600914,2.8432333,0.06719958,-0.12938859
-0.18586922,-0.41973945,0.05136665,1.0224493,-0.35847455,3.1887517,-0.5316732,0.6303917,-0.7088575,-0.77358955,-1.2149996,-1.3252417,-1.1566942,-0.81463087,0.0030740234,0.13110615
-0.17267042,-0.21263689,4.9861794,6.278545,4.067455,6.8698716,-0.6121197,0.016110918,-0.7119976,1.1895698,1.4718218,3.8302605,0.4164544,2.0088656,0.08595484,-0.061101485
-0.2997241,-0.18639755,0.5340239,1.7819526,1.2693105,1.5606748,-0.113984264,-0.058891606,-0.22338,0.17748576,0.35270837,0.57851136,0.056643307,0.17221054,0.010177769,-0.1004174
0.08548873,0.035344917,0.0010934857,-0.09324606,-0.07552121,-0.04178194,-0.052320275,-0.03709112,0.03925574,0.043726057,-0.0040090396,0.001720535,-0.013931806,-0.08140862,-0.048488926,-0.042765286
0.07709414,-0.03383754,0.060883697,0.019340204,-0.01776906,-0.018832149,-0.0821287,0.091722056,-0.028305274,0.0019930752,-0.069474466,0.078251176,0.043787945,0.030802978,-0.01158196,-0.0925066
0.05978389,-1.1359226,-0.95428395,-3.810624,0.27687493,0.9601358,-0.52723694,-0.021911787,-0.5373001,2.5024345,3.1953325,5.194356,1.4067616,2.5612588,0.11507513,-0.102309026
0.18639962,0.56468785,1.2233211,1.7536681,0.48845977,1.6660111,-0.22671758,-0.37379238,-0.22579035,-0.63337034,-0.727065,-0.3850956,-0.41015705,-0.28849953,-0.25784826,0.04069554
0.09164222,-0.002562765,0.030421896,0.074366555,0.04774166,0.040000565,-0.08279728,-0.061492532,0.041371986,-0.008351492,0.057559248,0.0366701,0.058860905,0.017323928,-0.0902716,-0.023010625
0.011387657,-0.017754389,0.076228596,-0.046658386,-0.025833618,0.08851808,-0.01880002,0.06029476,-0.0446051,-0.07159076,0.05733632,-0.054808483,0.081482984,-0.08675054,-0.081587985,0.001428554
0.31221563,-0.1045883,-2.5892045,-2.374482,-2.273585,-1.7295607,-0.34431988,0.50969285,-0.43612224,0.43503115,0.46780488,-0.022312129,-0.17838588,-0.10903155,-0.037076477,0.07808475
0.20486219,0.2734907,-1.1997597,-3.452323,-1.9985031,-3.6642246,-0.094591856,-0.7717916,-0.21479402,-0.07997092,0.0060741804,-0.00980174,0.19614416,-0.38883764,0.008483932,-0.14141458
-0.14872304,0.85366786,1.4333662,-1.0537466,1.172289,0.32275397,0.47398064,-0.35567787,0.3976515,-0.3539868,-0.4376355,-0.45089072,0.1703434,-0.18314,-0.02737594,-0.049966846
0.6237194,-0.16977714,-0.8027849,0.828794,-0.54319686,0.5880656,-0.5008534,0.41833442,-0.37494394,0.11290707,0.095943,-0.14619222,-0.23454411,0.055612758,-0.037962683,0.0989805
0.02976484,-0.046123173,-0.03192546,-0.08756762,0.040854186,-0.05881781,0.078767814,-0.047262955,-0.0642284,-0.05458215,0.03198124,-0.05679627,0.079001755,0.054509826,0.0035117068,-0.05436483
0.67107457,-0.88566774,-4.54879,-5.3758183,-3.6420872,-6.101021,0.5051655,-0.46218583,0.62906003,-2.588875,-2.8473876,-5.6817274,-1.287597,-3.1757228,0.029280815,0.018445319
-0.009222941,-0.080181874,-0.023395993,0.09286731,-0.040236514,0.014866614,0.021124518,-0.09093845,0.071755566,-0.022288512,0.05358522,0.04862615,0.020793576,-0.065438576,-0.04242804,-0.066653885
